Out-degree	Count
0	9663
1	2689
2	493
3	244
4	171
5	108
6	84
7	62
8	60
9	42
10	32
11	36
12	27
13	31
14	17
15	20
16	10
17	17
18	9
19	9
20	6
21	8
22	8
23	4
24	9
25	3
26	4
27	6
28	6
29	8
30	3
31	7
32	2
33	4
34	1
35	3
36	3
37	4
39	1
40	1
42	2
44	3
46	2
48	2
51	1
52	1
58	2
61	1
64	1
71	1
74	1
75	1
80	1
101	1
106	1
