Rhipidura sulaensis,
Rhipidura habibiei,
Rhipidura torrida,
Rhipidura versicolor,
Vireo caribaeus,
Vireo masteri,
Vireo gundlachii,
Vireo nelsoni,
Vireo gracilirostris,
Vireo chivi,
Hylophilus amaurocephalus,
Pteruthius aenobarbus,
Oriolus consobrinus,
Turnagra tanagra,
Colluricincla fortis,
Colluricincla affinis,
Colluricincla obscura,
Colluricincla tappenbecki,
Colluricincla discolor,
Colluricincla rufogaster,
Pachycephala rufogularis,
Pachycephala graeffii,
Pachycephala utupuae,
Pitohui cerviniventris,
Malaconotus monteiri,
Malaconotus lagdeni,
Malaconotus cruentus,
Malaconotus gladiator,
Dryoscopus pringlii,
Dryoscopus angolensis,
Dryoscopus senegalensis,
Dryoscopus sabini,
Tchagra tchagra,
Tchagra jamesi,
Laniarius brauni,
Laniarius amboimensis,
Telophorus viridis,
Chlorophoneus multicolor,
Chlorophoneus kupeensis,
Chlorophoneus olivaceus,
Aegithina nigrolutea,
Aegithina viridissima,
Batis margaritae,
Batis fratrum,
Batis ituriensis,
Batis perkeo,
Batis minulla,
Batis orientalis,
Batis minima,
Tephrodornis sylvicola,
Tephrodornis affinis,
Prionops rufiventris,
Prionops poliolophus,
Prionops gabela,
Prionops caniceps,
Prionops alberti,
Cyanolanius comorensis,
Artamus monachus,
Artamus mentalis,
Artamus insignis,
Campephaga quiscalina,
Lobotos lobatus,
Lalage aurea,
Lalage conjuncta,
Lalage moesta,
Edolisoma insperatum,
Edolisoma monacha,
Edolisoma remotum,
Coracina javensis,
Coracina fortis,
Coracina dobsoni,
Coracina personata,
Ceblepyris cucullatus,
Cinclosoma clarum,
Yuhina humilis,
Myzomela nigriventris,
Myzomela rubrobrunnea,
Myzomela simplex,
Gerygone hypoxantha,
Sericornis magnirostra,
Sericornis maculatus,
Amytornis oweni,
Amytornis rowleyi,
Amytornis whitei,
Climacteris affinis,
Menura alberti,
Cranioleuca dissita,
Thripophaga amacurensis,
Synallaxis beverlyae,
Synallaxis chinchipensis,
Cichlocolaptes mazarbarnetti,
Philydor novaesi,
Automolus exsertus,
Automolus virgatus,
Xenops mexicanus,
Lepidocolaptes fuscicapillus,
Lepidocolaptes fatimalimae,
Lepidocolaptes duidae,
Sclerurus obscurior,
Formicarius moniliger,
Scytalopus simonsi,
Scytalopus frankeae,
Scytalopus whitneyi,
Scytalopus androstictus,
Scytalopus krabbei,
Scytalopus intermedius,
Scytalopus alvarezlopezi,
Grallaria urraoensis,
Grallaria spatiator,
Grallaria saltuensis,
Grallaria centralis,
Grallaria ayacuchensis,
Grallaria occabambae,
