Out-degree	Count
0	11328
1	2615
2	555
3	265
4	194
5	134
6	99
7	60
8	57
9	42
10	45
11	42
12	22
13	32
14	23
15	24
16	14
17	15
18	16
19	10
20	9
21	8
22	8
23	10
24	7
25	6
26	3
27	6
28	7
29	7
30	6
31	4
32	4
33	2
34	1
35	5
36	4
37	3
39	2
40	2
41	1
42	1
43	2
44	1
45	2
47	2
48	3
49	1
50	3
52	1
53	3
55	1
56	1
58	1
59	1
64	2
71	1
77	1
86	1
99	1
105	1
106	1
