Out-degree	Count
0	19302
1	1834
2	9132
3	640
4	309
5	196
6	105
7	93
8	62
9	50
10	49
11	27
12	20
13	22
14	18
15	10
16	12
17	9
18	13
19	11
20	6
21	11
22	7
23	5
24	9
25	3
26	5
27	5
28	4
29	2
30	2
31	4
32	3
33	2
34	1
37	2
38	3
39	2
40	1
41	2
43	1
44	1
49	1
50	1
52	2
53	1
56	1
60	1
65	1
73	1
74	1
98	1
159	1
