Pellorneum palustre,
Laticilla cinerascens,
Malacocincla perspicillata,
Napothera naungmungensis,
Melanocichla calva,
Garrulax ferrarius,
Ianthocincla konkakinhensis,
Montecincla jerdoni,
Montecincla meridionalis,
Zosterops flavilateralis,
Heleia muelleri,
Heleia pinaiae,
Heleia dohertyi,
Stachyris herberti,
Schoeniparus klossi,
Phyllastrephus poliocephalus,
Hypsipetes nicobariensis,
Alophoixus aureus,
Alophoixus chloris,
Alophoixus lucasi,
Alophoixus mystacalis,
Alophoixus platenae,
Alophoixus tephrogenys,
Alophoixus ruficrissus,
Brachypodius fuscoflavescens,
Pycnonotus nieuwenhuisii,
Pycnonotus tympanistrigus,
Pycnonotus conradi,
Pycnonotus snouckaerti,
Pycnonotus pseudosimplex,
Urosphena subulata,
Erythrocercus holochlorus,
Erythrocercus livingstonei,
Phylloscopus misoriensis,
Spelaeornis badeigularis,
Cecropis badia,
Cecropis hyperythra,
Petrochelidon perdita,
Hirundo domicola,
Riparia congica,
Pnoepyga formosana,
Pnoepyga mutica,
Acrocephalus luscinius,
Acrocephalus astrolabii,
Acrocephalus nijoi,
Acrocephalus longirostris,
Acrocephalus musae,
Acrocephalus syrinx,
Acrocephalus rehsei,
Acrocephalus hiwae,
Acrocephalus yamashinae,
Acrocephalus sorghophilus,
Acrocephalus rodericanus,
Acrocephalus percernis,
Nesillas brevicaudata,
Nesillas mariae,
Nesillas aldabrana,
Nesillas lantzii,
Nesillas longicaudata,
Cincloramphus llaneae,
Locustella musculus,
Locustella portenta,
Locustella disturbans,
Turdinus marmoratus,
Artisornis moreaui,
Eremomela scotops,
Eremomela usticollis,
Eremomela badiceps,
Eremomela icteropygialis,
Eremomela turneri,
Eremomela atricollis,
Eremomela flavicrissalis,
Eremomela salvadorii,
Eremomela canescens,
Camaroptera superciliaris,
Camaroptera harterti,
Calamonastes undosus,
Calamonastes fasciolatus,
Calamonastes stierlingi,
Micromacronus leytensis,
Cisticola aridulus,
Cisticola aberdare,
Cisticola cinnamomeus,
Cisticola troglodytes,
Cisticola haesitatus,
Cisticola brunnescens,
Cisticola rufus,
Cisticola bakerorum,
Cisticola anderseni,
Prinia polychroa,
Prinia flavicans,
Prinia somalica,
Prinia molleri,
Prinia hypoxantha,
Prinia maculosa,
Prinia fluviatilis,
Prinia lepida,
Apalis kaboboensis,
Apalis personata,
Apalis ruddi,
Apalis chapini,
Apalis bamendae,
Apalis sharpii,
Apalis argentea,
Apalis chariessa,
Apalis karamojae,
Apalis fuscigularis,
Apalis lynesi,
Apalis nigriceps,
Apalis chirindensis,
Orthotomus nigriceps,
Orthotomus cinereiceps,
Orthotomus samarensis,
Orthotomus frontalis,
Orthotomus derbianus,
Orthotomus ruficeps,
Orthotomus chloronotus,
Orthotomus chaktomuk,
Macrosphenus pulitzeri,
Macrosphenus concolor,
Macrosphenus kempi,
Sylvietta ruficapilla,
Sylvietta philippae,
Sylvietta isabellina,
Bradypterus grandis,
Bradypterus centralis,
Nicator gularis,
Alaudala heinei,
Calandrella brachydactyla,
Mirafra pulpa,
Machlolophus aplonotus,
Poecile weigoldicus,
Remiz macronyx,
Anthoscopus flavifrons,
Anthoscopus punctifrons,
Anthoscopus caroli,
Sittiparus castaneoventris,
Sittiparus olivaceus,
Sittiparus owstoni,
Myadestes palmeri,
Pinarornis plumosus,
Petroica longipes,
Petroica pusilla,
Drymodes superciliaris,
Microeca hemixantha,
Melanocharis citreola,
Podoces panderi,
Podoces pleskei,
Pica serica,
Pica bottanensis,
Pica asirensis,
Urocissa whiteheadi,
Urocissa ornata,
Dendrocitta leucogastra,
Dendrocitta bayleii,
Dendrocitta occipitalis,
Crypsirina cucullata,
Lanius gubernator,
Eurocephalus ruppelli,
Pomarea mendozae,
Clytorhynchus sanctaecrucis,
Pomarea pomarea,
Carterornis castus,
Symposiachrus brehmii,
Symposiachrus julianae,
Symposiachrus sacerdotum,
Dicrurus ludwigii,
Dicrurus menagei,
Dicrurus montanus,
Dicrurus andamanensis,
Dicrurus densus,
Dicrurus lophorinus,
Dicrurus atactus,
Dicrurus occidentalis,
Rhipidura euryura,
Rhipidura albogularis,
Rhipidura malaitae,
Rhipidura matthiae,
Rhipidura drownei,
Rhipidura semirubra,
Rhipidura phoenicura,
Rhipidura opistherythra,
Rhipidura nebulosa,
Rhipidura kubaryi,
Rhipidura sulaensis,
Rhipidura habibiei,
Vireo caribaeus,
Vireo masteri,
Vireo gundlachii,
Vireo nelsoni,
Vireo gracilirostris,
Vireo chivi,
Hylophilus amaurocephalus,
Pteruthius flaviscapis,
Pteruthius ripleyi,
Turnagra tanagra,
Colluricincla fortis,
Colluricincla affinis,
Colluricincla obscura,
Colluricincla tappenbecki,
Colluricincla discolor,
Colluricincla rufogaster,
Pachycephala rufogularis,
Pitohui cerviniventris,
Malaconotus monteiri,
Malaconotus lagdeni,
Malaconotus cruentus,
Malaconotus gladiator,
Dryoscopus pringlii,
Dryoscopus angolensis,
Dryoscopus senegalensis,
Dryoscopus sabini,
Tchagra tchagra,
Tchagra jamesi,
Laniarius brauni,
Laniarius amboimensis,
Telophorus viridis,
