Out-degree	Count
0	9548
1	2683
2	490
3	243
4	168
5	109
6	81
7	63
8	58
9	42
10	33
11	38
12	28
13	30
14	16
15	20
16	10
17	17
18	8
19	8
20	7
21	8
22	8
23	4
24	9
25	3
26	4
27	9
28	4
29	8
30	2
31	7
32	2
33	4
34	1
35	3
36	1
37	4
38	1
39	1
42	2
44	3
46	2
48	2
51	1
52	1
57	1
58	1
61	2
71	1
74	1
75	1
80	1
101	1
106	1
