Out-degree	Count
0	19302
1	1836
2	1043
3	480
4	304
5	213
6	128
7	94
8	87
9	65
10	67
11	48
12	39
13	39
14	29
15	23
16	28
17	16
18	25
19	21
20	14
21	22
22	9
23	7
24	9
25	14
26	12
27	12
28	8
29	10
30	6
31	9
32	3
33	6
34	3
35	4
36	3
37	4
38	4
39	4
40	5
41	6
42	5
43	5
44	3
45	6
46	1
47	1
48	1
49	3
51	2
52	1
54	1
55	2
56	2
58	4
59	1
60	1
61	1
62	4
64	2
65	1
66	1
68	1
72	3
73	1
74	1
75	2
77	1
78	1
79	1
81	1
84	1
95	1
108	2
111	1
118	1
138	1
146	1
196	1
